household_identifier,gps_point_21,gps_point_1,gps_point_2,gps_point_11
H902264-87,10.067,24,26,22.584
H902263-86,10.282,24,26,21.98
H902262-85,10.282,24,26,21.98
H902261-84,10.39,24,26,23.259
H902260-83,10.393,24,26,23.255
H902064-93,10.04,24,26,22.345
H902063-92,10.045,24,26,22.319
H902062-91,9.98,24,26,22.308
H902061-90,10.04,24,26,22.348
H902058-87,9.993,24,26,22.242
H902057-86,10.008,24,26,22.214
H902056-85,10.073,24,26,22.134
H902055-84,10.077,24,26,22.137
H902054-83,10.075,24,26,22.156
H902053-82,10.17,24,26,22.17
H902052-81,10.236,24,26,22.167
H902051-80,10.27,24,26,22.144
H902049-78,10.034,24,26,22.119
H902045-74,10.72,24,26,22.432
H902043-72,8.801,24,26,22.982
H902041-70,10.75,24,26,22.44
H902038-67,10.355,24,26,22.525
H902037-66,10.373,24,26,22.409
H902036-65,10.491,24,26,22.46
H902031-60,10.341,24,26,22.547
H902030-59,10.341,24,26,22.483
H902029-58,10.37,24,0,22.449
H902028-57,10.372,24,26,22.449
H902027-56,10.392,24,26,22.425
H902025-54,10.409,24,26,22.36
H902024-53,10.419,24,26,22.35
H902023-52,10.409,24,26,22.359
H902022-51,10.438,24,26,22.347
H902018-47,9.72,24,26,23
H902017-46,8.783,24,26,22.956
H902014-43,9.501,24,26,22.817
H902013-42,9.573,24,26,22.914
H831061-57,9.686,24,26,22.953
H802102-41,9.675,24,26,22.519
H802101-40,10.373,24,26,22.534
H802100-39,9.666,24,26,22.962
H802073-12,0,0,0,0
H802029-71,10.332,24,26,22.542
H802028-70,10.268,24,26,22.518
H802027-69,9.955,24,26,22.46
H802025-67,10.011,24,26,22.581
H802023-65,9.927,24,26,22.625
H802020-62,9.8,24,26,22.732
H802019-61,9.8,24,26,22.741
H802018-60,9.779,24,26,22.759
H802017-59,9.829,24,26,22.753
H802016-58,9.701,24,26,22.702
H802015-57,9.71,24,26,22.799
H802011-53,1,1,1,1
H802007-49,9.558,24,26,22.835
H711077-68,9.408,24,26,22.589
H711054-45,10.149,24,26,22.177
H702183-32,9.844,24,26,22.356
H702164-13,9.916,24,26,22.206
H702036-91,9.86,24,26,22.511
H702033-88,10.414,24,26,22.408
H702032-87,10.181,24,26,22.352
H702031-86,10.2,24,26,22.344
H702030-85,10.185,24,26,22.316
H702029-84,10.131,24,26,22.185
H702026-81,10.701,24,26,22.47
H702025-80,10.356,24,26,22.227
H702023-78,10.402,24,26,22.246
H702022-77,10.456,24,26,22.22
H702020-75,8.785,24,26,22.977
H702019-74,9.812,24,26,22.78
H702018-73,9.789,24,26,22.783
H702017-72,9.738,24,26,22.751
H702016-71,9.738,24,26,22.755
H702015-70,8.791,24,26,22.984
H702013-68,9.637,24,26,22.78
H702012-67,9.676,24,26,22.741
H702010-65,9.525,24,26,22.641
H702009-64,9.562,24,26,22.726
H702008-63,9.641,24,26,22.965
H671076-31,9.844,24,26,22.356
H671075-30,9.67,24,26,22.525
H671074-29,10.39,24,26,23.26
H602059-24,9.48,24,26,21.916
H602057-22,9.839,24,26,22.416
H542139-50,10.322,24,26,21.989
H542138-49,10.287,24,26,22.08
H542137-48,10.291,24,26,22.081
H542136-47,9.991,24,26,22.368
H542135-46,9.995,24,26,22.383
H542134-45,9.976,24,26,22.413
H542133-44,10.035,24,26,22.396
H542132-43,10.049,24,26,22.42
H542126-37,10.359,24,26,22.229
H542125-36,10.095,24,26,22.115
H542124-35,10.198,24,26,22.126
H542123-34,10.161,24,26,22.15
H542122-33,10344,24,26,22552
H542121-32,10433,24,26,22445
H542120-31,10.324,24,26,22.121
H542119-30,10.293,24,26,22.13
H542117-28,10.367,24,26,22
H542116-27,10.364,24,26,22.058
H542115-26,10.358,24,26,22.085
H542114-25,10.394,24,26,22.042
H542112-23,10.292,24,26,22.477
H542111-22,10.494,24,26,22.533
H542110-21,10.496,24,26,22.534
H542109-20,10.319,24,26,22.57
H542107-18,10.246,24,26,22.541
H542106-17,10.226,24,26,22.571
H542105-16,10.11,24,26,22.585
H542104-15,10.116,24,26,22.583
H542103-14,9.999,24,26,22.629
H542101-12,9.716,24,26,22.823
H542099-10,9.811,24,26,22.779
H542098-09,9.69,24,24,22.766
H542096-07,9.581,24,26,22.632
H542095-06,9.543,24,26,22.705
H542094-05,9.594,24,26,22.723
H542093-04,9.61,24,26,22.854
H502235-07,8.876,24,26,21.564
H502234-06,26,24,26,24
H502233-05,8.77,24,26,22.932
H502065-43,9.807,24,26,22.516
H502064-42,9.959,24,26,22.448
H502063-41,8.785,24,26,22.973
H502062-40,9.772,24,26,22.402
H502061-39,9.773,24,26,22.402
H502059-37,9.919,24,26,22.381
H502058-36,8.798,24,26,22.983
H502057-35,9.929,24,26,22.35
H502056-34,9.851,24,26,22.457
H502054-32,9.936,24,26,22.416
H502053-31,10.154,24,26,22.233
H502051-29,10.056,24,26,22.207
H502050-28,10.154,24,26,22.157
H502046-24,10.548,24,26,22.494
H502044-22,10.245,24,26,22.478
H502043-21,10.243,24,26,22.48
H502042-20,10.253,24,26,22.499
H502040-18,10.312,24,26,22.492
H502039-17,10.35,24,26,22.42
H502038-16,10.349,24,26,22.421
H502037-15,10.333,24,26,22.401
H502036-14,8.803,24,26,22.979
H502034-12,9.823,24,26,22.82
H502031-09,9.666,24,26,22.718
H502028-06,9.699,24,26,23.013
H502027-05,9.698,24,26,23.011
H502025-03,9.582,24,26,22.973
H502024-02,9.578,24,26,22.92
H502022-00,9.585,24,26,22.886
H502018-99,9.689,24,26,22.917
H441085-39,2,24,26,1
H441084-38,26,24,26,24
H441083-37,8.552,24,26,22.196
H421032-71,10.266,24,26,21.982
H421031-70,10.256,24,26,22.181
H421030-69,9.983,24,26,22.556
H421029-68,8.773,24,26,22.934
H402264-49,9.04,24,26,22.416
H402055-46,9826,24,26,22566
H402050-41,10065,24,26,22534
H402049-40,10081,24,26,22463
H402048-39,10121,24,26,22251
H402047-38,10135,24,26,22301
H402045-36,10058,24,26,22285
H402044-35,9974,24,26,22220
H402043-34,10035,24,26,22153
H402042-33,9973,24,26,22211
H402041-32,10003,24,26,22191
H402038-29,10241,24,26,22215
H402037-28,10246,24,26,22135
H402035-26,10.38,24,26,22.084
H402033-24,10582,24,26,22499
H402027-18,10423,24,26,22406
H402025-16,10454,24,26,22418
H402024-15,10452,24,26,22417
H402023-14,10427,24,26,22385
H402020-11,9741,24,26,22693
H402019-10,9772,24,26,22680
H402017-08,8889,24,26,21660
H402016-07,9741,24,26,22995
H402015-06,9629,24,26,2274
H402013-04,9667,24,26,23025
H372245-03,10.149,24,26,22.178
H372144-05,9.86,24,26,22.51
H372143-04,9.833,24,26,22.533
H372142-03,10.101,24,26,22.013
H372141-02,10.5,24,26,22.463
H372135-99,9844,24,26,22413
H372132-96,10.156,24,26,22.238
H372130-94,10.372,24,26,22.266
H372129-93,10100,24,26,22132
H372127-91,10331,24,26,22152
H372125-89,10.38,24,26,22.268
H372124-88,10.567,24,26,22.544
H372122-86,10330,24,26,22544
H372121-85,10.301,24,26,22.563
H372120-84,10.221,24,26,22.537
H372118-82,10.179,24,26,22.594
H372117-81,9.575,24,26,22.789
H372116-80,10.425,24,26,22.381
H372114-78,9.911,24,26,22.635
H372113-77,9.895,24,26,22.575
H372111-75,9.651,24,26,22.79
H372110-74,9.693,24,26,22.773
H372109-73,9.704,24,26,22.703
H372107-71,9.628,24,26,22.631
H372105-69,9.681,24,26,22.901
H372104-68,9.649,24,26,22.923
H301010-44,10.193,24,26,22.126
H301009-43,8.222,24,26,22.903
H301007-41,10.393,24,26,23.255
H252378-28,10.801,24,26,22.477
H252377-27,10.036,24,26,22.167
H252376-26,26,24,26,24
H252131-90,9670,24,26,22526
H252129-88,9723,24,26,22504
H252128-87,9771,24,26,22450
H252123-82,10.127,24,26,22.276
H252122-81,9.9,24,26,22.315
H252121-80,9.974,24,26,22.219
H252120-79,10.14,2,26,22.183
H252118-77,9.505,24,26,22.766
H252117-76,10.702,24,26,22.471
H252116-75,10.657,24,26,22.479
H252114-73,10.548,24,26,22.493
H252113-72,10.603,24,26,22.486
H252112-71,10.498,24,26,22.506
H252111-70,10.515,24,26,22.524
H252109-68,10.257,24,26,22.397
H252107-66,10.411,24,26,22.503
H252106-65,10.391,24,26,22.519
H252105-64,10.375,24,26,22.548
H252104-63,10.371,24,26,22.56
H252103-62,10.353,24,26,22.579
H252102-61,10.34,24,26,22.573
H252100-59,10.093,24,26,22.66
H252098-57,10.124,24,26,22.602
H252096-55,10449,24,26,22393
H252095-54,10457,24,26,22354
H252094-53,10421,24,26,22421
H252093-52,10421,24,26,22347
H252092-51,10.437,24,26,22.464
H252091-50,10.472,24,26,22.472
H252089-48,9.9,24,26,22.774
H252087-46,9.958,24,26,22.481
H252086-45,9.962,24,26,22.502
H252085-44,9.931,24,26,22.527
H252084-43,9.844,24,26,22.606
H252083-42,9.768,24,26,22.559
H252082-41,9.769,24,26,22.523
H252081-40,9.923,24,26,22.787
H252080-39,9646,24,26,22698
H252077-36,9.54,24,26,22.967
H252075-34,9.549,24,26,22.938
H252074-33,9.554,24,26,22.93
H252073-32,9.609,24,26,22.884
H252072-31,9.606,24,26,22.885
H202057-74,8.463,24,26,21.193
H202056-73,0,24,26,0
H202001-18,22.791,24,26,22.791
H152261-27,10.144,24,26,22.489
H152260-26,9.717,24,26,22.992
H152259-25,9.671,24,26,22.943
H152113-85,10.091,24,26,22.477
H152112-84,10.012,24,26,22.405
H152111-83,10.074,24,26,22.342
H152106-78,10.161,24,26,22.293
H152101-73,10705,24,26,22438
H152098-70,10782,24,26,22474
H152097-69,10779,24,26,22473
H152096-68,10777,24,26,22497
H152095-67,10.793,24,26,22.507
H152094-66,10930,24,26,22460
H152093-65,54395,24,25,39794
H152092-64,10.071,24,26,22.688
H152089-61,9.894,24,26,22.811
H152087-59,9.857,24,26,22.665
H152086-58,9.845,24,26,22.629
H152085-57,8.438,24,26,21.804
H152083-55,9.68,24,26,22.973
H152081-53,9.446,24,26,22.824
H142130-93,9.887,24,26,22.47
H142129-92,9.861,24,26,22.563
H142128-91,10.07,24,26,22.08
H142123-86,10.108,24,26,22.524
H142122-85,10.09,24,26,22.278
H142121-84,10.129,24,26,22.253
H142119-82,9957,24,26,22203
H142118-81,9984,24,26,22182
H142117-80,9994,24,26,22167
H142116-79,10.151,24,26,22.231
H142115-78,10.128,24,26,22.191
H142114-77,10.172,24,26,22.207
H142113-76,10.673,24,26,22.473
H142112-75,10.638,24,26,22.495
H142109-72,10.405,24,26,22.088
H142108-71,10.409,24,26,22.096
H142107-70,10.654,24,26,22.454
H142106-69,10.441,24,26,22.543
H142105-68,10.476,24,26,22.513
H142104-67,10.453,24,26,22.484
H142102-65,10.315,24,26,22.408
H142101-64,10.409,24,26,22.46
H142099-62,10.432,24,26,22.447
H142098-61,10.431,24,26,22.459
H142097-60,10.5,24,26,22.463
H142096-59,10.496,24,26,22.453
H142095-58,10.491,24,26,22.435
H142094-57,10.421,24,26,22.363
H142093-56,10.441,24,26,22.36
H142092-55,52.494,24,26,39.259
H142089-52,9.725,24,26,22.82
H142087-50,9.659,24,26,22.593
H142085-48,9.783,24,26,22.643
H142082-45,9.561,24,26,22.919
H142081-44,9.589,24,26,22.907
H122236-78,9.527,24,26,21.971
H122235-77,9.718,24,26,22.995
H122104-49,10.009,24,26,22.089
H122103-48,10.132,24,26,22.011
H122102-47,9.735,24,26,22.465
H122100-45,9.998,24,26,22.456
H122098-43,10.031,24,26,22.493
H122097-42,9.979,24,26,22.486
H122095-40,9.999,24,26,22.256
H122091-36,10.127,24,26,22.172
H122090-35,10.324,24,26,22.204
H122086-31,10.255,24,26,22.398
H122085-30,10.29,24,26,22.585
H122078-23,9.825,24,26,22.816
H122077-22,9.869,24,26,22.819
